001914	物业管理
001965	高速公路
001979	商业地产
002001	原料药
002002	氯碱
002003	辅料
002004	化学制剂
002005	厨房小家电
002006	其他专用设备
002007	血液制品
002008	激光设备
002009	其他专用设备
002010	公路货运
002011	家电零部件Ⅲ
002012	特种纸
002013	航空装备Ⅲ
002014	塑料包装
002015	热力服务
002016	住宅开发
002017	通信终端及配件
002019	化学制剂
002020	化学制剂
002021	纺织服装设备
002022	体外诊断
002023	航空装备Ⅲ
002024	综合电商
002025	军工电子Ⅲ
002026	金属制品
002027	广告媒体
002028	输变电设备
002029	非运动服装
002030	体外诊断
002031	其他专用设备
002032	厨房小家电
002033	自然景区
002034	固废治理
002035	厨房电器
002036	光学元件
002037	民爆制品
002038	其他生物制品
002039	水力发电
002040	港口
002041	种子
002042	棉纺
002043	其他建材Ⅲ
002044	医院
002045	品牌消费电子
002046	金属制品
002047	装修装饰Ⅲ
002048	车身附件及饰件
002049	数字芯片设计
002050	家电零部件Ⅲ
002051	国际工程
002052	其他黑色家电
002053	无机盐
002054	纺织化学制品
002055	消费电子零部件及组装
002056	磁性材料
002057	磁性材料
002058	电工仪器仪表
002059	人工景区
002060	基建市政工程
002061	基建市政工程
002062	基建市政工程
002063	垂直应用软件
002064	氨纶
002065	IT服务Ⅲ
002066	耐火材料
002067	大宗用纸
002068	炭黑
002069	水产养殖
002071	影视动漫制作
002072	综合Ⅲ
002073	其他专用设备
002074	锂电池
002075	特钢Ⅲ
002076	照明设备Ⅲ
002077	集成电路封测
002078	大宗用纸
002079	分立器件
002080	玻纤制造
002081	装修装饰Ⅲ
002082	铝
002083	棉纺
002084	卫浴制品
002085	轮胎轮毂
002086	水产养殖
002087	棉纺
002088	耐火材料
002089	通信网络设备及器件
002090	电网自动化设备
002091	贸易Ⅲ
002092	氯碱
002093	通信工程及服务
002094	化妆品制造及其他
002095	门户网站
002096	民爆制品
002097	工程机械整机
002098	辅料
002099	原料药
002100	畜禽饲料
002101	其他汽车零部件
002102	原料药
002103	营销代理
002104	通信终端及配件
002105	其他运输设备
002106	面板
002107	中药Ⅲ
002108	其他塑料制品
002109	其他化学原料
002110	长材
002111	其他专用设备
002112	输变电设备
002113	游戏Ⅲ
002114	铅锌
002115	通信工程及服务
002116	其他专业工程
002117	印刷
002118	中药Ⅲ
002119	半导体材料
002120	快递
002121	电工仪器仪表
002122	金属制品
002123	通信应用增值服务
002124	生猪养殖
002125	无机盐
002126	底盘与发动机系统
002127	电商服务
002128	动力煤
002129	硅料硅片
002130	其他电子Ⅲ
002131	营销代理
002132	金属制品
002133	住宅开发
002134	印制电路板
002135	钢结构
002136	钛白粉
002137	营销代理
002138	被动元件
002139	消费电子零部件及组装
002140	化学工程
002141	其他电子Ⅲ
002142	城商行Ⅲ
002143	营销代理
002144	其他纺织
002145	钛白粉
002146	住宅开发
002147	其他通用设备
002148	通信应用增值服务
002149	其他小金属
002150	金属制品
002151	军工电子Ⅲ
002152	其他计算机设备
002153	垂直应用软件
002154	非运动服装
002155	黄金
002156	集成电路封测
002157	生猪养殖
002158	制冷空调设备
002159	自然景区
002160	铝
002161	其他电子Ⅲ
002162	瓷砖地板
002163	玻璃制造
002164	金属制品
002165	聚氨酯
002166	中药Ⅲ
002167	其他小金属
002168	游戏Ⅲ
002169	电网自动化设备
002170	复合肥
002171	铜
002172	粘胶
002173	医院
